"This phone number already exists for another phone to Cart","Detta telefonnummer existerar redan för en annan telefon i varukorgen"
"Not selected activation type","Ej valt aktiveringstyp"
"Not selected phone number","Ej valt telefonnummer"
"Not selected sim type","Ej vald SIM typ"
"Cannot add the item to shopping cart","Det går inte att lägga till objektet i kundvagnen"
"Insurances","Trygghetsavtal"
"No insurances available","Inga trygghetsavtal tillgängliga"
"See more insurances","Se fler trygghetsavtal"
"Please, select your city","Välj stad"
"No available resellers","Ingen tillgänglig återförsäljare"
"Read more","Läs mer"
"Remove other products in order to buy To Go","För att hämta ut din mobiltelefon direkt via To Go behöver du ta bort dina övriga varor från korgen.<br>Vill du beställa allt i din varukorg klickar du bara Gå vidare, så skickas samtliga varor via posten."
"PRESSBYRAN","Pressbyrån"
"SEVEN_ELEVEN","7-Eleven"
"Campaign code %s was saved.","Kampanjkod '%s' sparades."
